saa_code;saa_xcoord;saa_ycoord
10335018;0;0
71793150;727235;1781467
81036483;0;0
83114207;0;0
54532804;0;0
79433003;0;0
53551812;0;0
70252106;0;0
70275305;0;0
54357053;0;0
71514000;0;0
81021279;0;0
71203109;0;0
80145714;0;0
85094052;0;0
86000406;0;0
74033068;0;0
70314906;0;0
80101386;0;0
83117804;0;0
71142026;0;0
85011189;0;0
80225441;0;0
85003012;0;0
87212258;994932;2404803
87407262;990074;2447536
87214627;972509;2404030
87338517;999492;2417110
87213447;1009999;2451597
87213785;977048;2442784
87212274;993548;2398103
87213207;991760;2443733
87212449;1025236;2451884
87407270;989181;2451967
87407296;987648;2452917
87213132;987372;2440254
87212415;1020066;2443395
87214684;963176;2400191
87214742;957385;2389695
87214759;956214;2387642
87406918;0;0
87213421;1006251;2451727
87215699;960553;2445510
87595983;0;0
87213678;1001669;2427210
87213470;1010420;2462864
87182576;954832;2324969
87181149;960836;2321248
87402297;972112;2354798
87181040;972652;2311705
87182204;970089;2309026
87214833;966840;2375240
87182667;970159;2318183
87182816;953212;2345520
87299909;725464;2526149
87297283;677853;2497968
87297051;666086;2514877
87313296;605909;2494132
87522474;581689;2492209
87276444;601899;2463271
87276113;608997;2465468
87276691;635365;2491732
87313544;604982;2473202
87313676;585412;2476783
87313833;555637;2517642
87313734;571228;2518125
87313692;576402;2499013
87272195;638216;2496784
87313668;585134;2470529
87271577;633394;2460571
87271551;629830;2455427
87276766;642820;2501169
87313601;588104;2489036
87313718;575445;2503814
87683201;670986;2349220
87683557;693060;2317550
87117986;708590;2339176
87683334;704766;2334858
87683664;704748;2296651
87683706;708665;2285615
87286146;638324;2631982
87295733;714333;2571259
87286872;663704;2625255
87345553;679718;2566712
87345413;656048;2591083
87287243;662696;2616551
87287193;647596;2638689
87343459;675048;2593754
87345496;667166;2577752
87286641;657731;2618668
87345397;671007;2581576
87295790;707315;2577568
87286062;655228;2625646
87287128;653867;2625117
87342469;637687;2617181
87286609;661812;2612317
87286583;664893;2609517
87343418;680264;2591839
87286567;672033;2607305
87297531;712932;2571824
87286401;644382;2622133
87286161;631900;2635525
87343210;683177;2593370
87286526;650754;2620775
87342246;618258;2595337
87342592;635992;2593460
87342006;621597;2614130
87342071;631129;2579512
87317321;562985;2650819
87342543;610281;2609787
87345116;650200;2594403
87281436;590905;2648047
87317107;552583;2629837
87345025;635008;2603646
87345231;637217;2605188
87342121;625955;2607356
87342550;606718;2609502
87287300;587424;2652050
87342576;634632;2597771
87191684;864907;2474831
87194357;858334;2491304
87141531;877604;2405295
87141721;858328;2405751
87406645;830206;2503003
88462010;0;0
81010983;0;0
72233064;0;0
80110411;0;0
80295154;0;0
82001065;0;0
81036574;0;0
51005223;0;0
82003202;0;0
51005298;0;0
80167346;0;0
80160192;0;0
88445030;0;0
85073726;0;0
80225482;0;0
80015834;0;0
81028019;0;0
80110189;0;0
85034025;0;0
76006205;0;0
80160770;0;0
71602078;0;0
71621037;0;0
80143313;0;0
80102855;0;0
88833110;0;0
94340091;0;0
80221630;0;0
80144816;0;0
74008060;0;0
80101584;0;0
88446286;0;0
80041269;0;0
80031716;0;0
86000018;0;0
85041004;0;0
80015503;0;0
80143180;0;0
71330160;0;0
71563080;0;0
56133264;0;0
80202952;0;0
51005900;0;0
76023192;0;0
80101436;0;0
88815621;0;0
80167056;0;0
80250373;0;0
80297069;0;0
83118489;0;0
80145813;0;0
71841015;0;0
84000802;0;0
85093575;0;0
84004366;0;0
54342329;0;0
83017012;0;0
54342527;0;0
55113878;0;0
54543512;0;0
