prefixe;libelle;codeuic;coderesarail;codemnemo;tarentaise;localite;banlieue;pang;bipass;particularites;nrzonebanlieue;indicgp;numdep
0;MASSABRAC TUILERIES;87446849;FROUN;FROUN;;0;0;0;0;0;0.0;N;31
0;MASSERAC;87471227;FRDWT;MASSR;;0;0;0;0;0;0.0;N;44
0;MASSERET;87594820;FRFKP;MASSE;;0;0;0;0;0;0.0;N;19
0;MASSERET (LOCALITE);19059482;FRMSR;FRMSR;;1;0;0;0;0;0.0;N;19
0;MASSERET VILLE;87450049;FRBMX;MTVER;;0;0;0;0;0;0.0;N;19
4;MASSERIES;87168039;FRUPO;FRUPO;;0;0;0;0;0;0.0;N;46
0;MASSEUBE PLACE DASTE;87443275;FRUKJ;FRUKJ;;0;0;0;0;0;0.0;N;32
0;MASSIAC BLESLE;87734871;FRHMY;MASSI;;0;0;0;0;0;0.0;N;15
0;MASSILLY LE BOURG;87725333;FRHGI;MASSL;;0;0;0;0;0;0.0;N;71
0;MASSY;91039357;FRDVC;MASSD;;1;0;0;0;0;0.0;N;91
0;MASSY PALAISEAU;87393579;FRMPU;MASSY;;0;0;0;0;0;75.0;O;91
0;MASSY TGV;87393702;FRDJU;MASSU;;0;0;0;0;0;0.0;O;91
0;MASSY VERRIERES;87383281;FRDFM;MASSV;;0;0;0;0;0;75.0;N;91
5;MATHURIN;87487892;FRELY;SMATH;;0;0;0;0;0;0.0;N;49
0;MATTAINCOURT;87174482;FRBFZ;MATTA;;0;0;0;0;0;0.0;N;88
0;MATTAINCOURT (GAL. DE GAULLE);87405977;FRZBW;FRZBW;;0;0;0;0;0;0.0;N;88
0;MATTAINCOURT (LOC);88017448;FRWCE;FRWCE;;1;0;0;0;0;0.0;N;88
0;MATZENHEIM;87214130;FRBXL;MATZE;;0;0;0;0;0;0.0;N;67
0;MAUBEUGE;87295006;FRXME;MAUBE;;0;0;0;0;0;0.0;N;59
0;MAUBOURGUET CENTRE;87671651;FRGEI;MAUBO;;0;0;0;0;0;0.0;N;65
0;MAUBOURGUET MARMAJOU;87462721;FRHIF;FRHIF;;0;0;0;0;0;0.0;N;65
0;MAULE;87381723;FRDDQ;MAULE;;0;0;0;0;0;75.0;N;78
0;MAULEON;87672550;FRGFX;MAULN;;0;0;0;0;0;0.0;N;64
0;MAULEON BROSSARDIERE;87389890;FRDHL;FRDHL;;0;0;0;0;0;0.0;N;79
0;MAULEON LYCEE;87465138;FRSCY;FRSCY;;0;0;0;0;0;0.0;O;64
0;MAULEON OFFICE TOURISME;87465120;FRSCX;FRSCX;;0;0;0;0;0;0.0;N;64
0;MAULEON ST AUBIN;87487462;FRELG;MAULB;;0;0;0;0;0;0.0;N;79
5;MAUR;87177485;FRTCM;FRTCM;;0;0;0;0;0;0.0;N;32
5;MAUR-CRETEIL;87758151;FRICE;FRICE;;0;1;0;0;0;75.0;N;94
6;MAURE NOYANT;87575050;FREVQ;SMANO;;0;0;0;0;0;0.0;N;37
0;MAURECOURT;87381483;FRDDE;MAURE;;0;0;0;0;0;75.0;N;78
0;MAURENS SCOPONT ESCLAUSOLLES;87442269;FRUFB;FRUFB;;0;0;0;0;0;0.0;N;81
0;MAURIAC;87645267;FRGBT;MAURI;;0;0;0;0;0;0.0;O;15
0;MAURIAC (LOCALITE);15064526;FRMAJ;FRMAJ;;1;0;0;0;0;0.0;N;15
0;MAURIAC LYCEE CORTAT;87395947;FRGAM;FRGAM;;0;0;0;0;0;0.0;N;15
5;MAURICE (LOC);88014456;FRWCB;FRWCB;;1;0;0;0;0;0.0;N;88
5;MAURICE DE BEYNOST;87723536;FRHFF;SMRCB;;0;0;0;0;0;0.0;N;1
5;MAURICE DOUBS;87184564;FRBMC;SMAUR;;0;0;0;0;0;0.0;N;25
5;MAURICE EN TRIEVES;87747642;FRHWI;SMATR;;0;0;0;0;0;0.0;N;38
5;MAURICE S MOSELLE BALL;87144568;FRAZC;SMRCM;;0;0;0;0;0;0.0;N;88
5;MAURICE/MOSELLE (MAIRIE;87405944;FRZBS;FRZBS;;0;0;0;0;0;0.0;N;88
0;MAUROIS;87345546;FRDAX;MAURO;;0;0;0;0;0;0.0;N;59
0;MAURS;87645168;FRGBJ;MAURS;;0;0;0;0;0;0.0;N;15
0;MAUSSAC GARE PL DE LA POSTE;87152413;FRAIC;CONDT;;0;0;0;0;0;0.0;N;19
0;MAUSSAC LE POTEAU;87417881;FRMSP;FRMSP;;0;0;0;0;0;0.0;N;19
0;MAUVES SUR LOIRE;87481150;FREFJ;MAUVE;;0;0;0;0;0;0.0;N;44
0;MAUVEZIN;87677948;FRGJY;FRGJY;;0;0;0;0;;0.0;N;32
0;MAUVEZIN DE PRAT;87618785;FRFXN;FRFXN;;0;0;0;0;0;0.0;N;9
0;MAUZAC;87584466;FRFEK;MAUZA;;0;0;0;0;0;0.0;N;24
0;MAUZE;87485250;FREIQ;MAUZE;;0;0;0;0;0;0.0;N;79
0;MAUZENS MIREMONT;87595728;FRFLZ;MAUZM;;0;0;0;0;0;0.0;N;24
0;MAVAULT;87577106;FREZA;MAVAU;;0;0;0;0;0;0.0;N;86
0;MAXEY SUR VAISE;87175885;FRBIF;MAXEY;;0;0;0;0;0;0.0;N;55
6;MAXIME.;99351965;FRMAM;FRMAM;;0;0;0;1;0;0.0;N;83
5;MAXIMIN GARE ROUTIERE;87459008;FROCY;FROCY;;0;0;0;0;0;0.0;N;83
0;MAXONCHAMP;87146233;FRBAY;MAXON;;0;0;0;0;0;0.0;N;88
0;MAYENNE;87478594;FREEI;MAYEN;;0;0;0;0;0;0.0;N;53
0;MAYENNE (LOCALITE);53047859;FRACW;FRACW;;1;0;0;0;0;0.0;N;53
0;MAYENNE CENTRE;87478602;FREEJ;FREEJ;;0;0;0;0;0;0.0;N;53
0;MAYET;87396580;FRDMO;MAYET;;0;0;0;0;0;0.0;N;72
0;MAZAMET;87615542;FRXMZ;MAZAM;;0;0;0;0;0;0.0;N;81
