region;annee;mois;regularite
Provence-Alpes-Côte d'Azur;2012;Octobre;86.8
Auvergne;2012;Novembre;93.6
Bourgogne;2012;Novembre;90.4
Haute Normandie;2012;Novembre;93.5
Picardie;2012;Novembre;91.0
Alsace;2012;Décembre;95.7
Champagne-Ardenne;2012;Décembre;93.8
Lorraine;2012;Décembre;95.9
Rhône-Alpes;2009;Décembre;90.7
Basse Normandie;2010;Janvier;94.8
Languedoc-Roussillon;2010;Janvier;85.9
Pays de la Loire;2010;Janvier;93.4
Aquitaine;2010;Février;89.9
Centre;2010;Février;87.6
Franche-Comté;2010;Février;88.4
Midi-Pyrénées;2010;Février;85.1
Ensemble des TER;2010;Février;90.1
Bourgogne;2010;Mars;91.9
Champagne-Ardenne;2010;Mars;95.3
Lorraine;2010;Mars;95.5
Rhône-Alpes;2010;Mars;90.7
Basse Normandie;2010;Avril;94.0
Bretagne;2010;Avril;96.5
Languedoc-Roussillon;2010;Avril;87.3
Poitou-Charentes;2010;Avril;87.1
Aquitaine;2010;Mai;86.1
Franche-Comté;2010;Mai;87.9
Midi-Pyrénées;2010;Mai;89.2
Pays de la Loire;2010;Mai;92.8
Ensemble des TER;2010;Mai;92.1
Centre;2010;Juin;90.2
Limousin;2010;Juin;93.0
Midi-Pyrénées;2010;Juin;90.8
Provence-Alpes-Côte d'Azur;2010;Juin;86.9
Bourgogne;2010;Juillet;91.6
Haute Normandie;2010;Juillet;95.4
Picardie;2010;Juillet;93.4
Alsace;2010;Août;97.0
Basse Normandie;2010;Août;93.6
Franche-Comté;2010;Août;90.6
Pays de la Loire;2010;Août;93.5
Ensemble des TER;2010;Août;92.1
Aquitaine;2010;Septembre;90.8
Centre;2010;Septembre;92.7
Midi-Pyrénées;2010;Septembre;93.2
Provence-Alpes-Côte d'Azur;2010;Septembre;87.0
Ensemble des TER;2010;Septembre;92.1
Bourgogne;2010;Octobre;87.7
Limousin;2010;Octobre;94.9
Picardie;2010;Octobre;93.1
Auvergne;2010;Novembre;86.5
Champagne-Ardenne;2010;Novembre;90.7
Haute Normandie;2010;Novembre;90.5
Nord-Pas de Calais;2010;Novembre;81.9
Alsace;2010;Décembre;85.3
Bretagne;2010;Décembre;90.1
Champagne-Ardenne;2010;Décembre;83.9
Lorraine;2010;Décembre;84.3
Bourgogne;2009;Mars;92.4
Limousin;2009;Mars;94.3
Picardie;2009;Mars;93.5
Provence-Alpes-Côte d'Azur;2009;Mars;84.4
Auvergne;2009;Avril;94.5
Haute Normandie;2009;Avril;95.6
Nord-Pas de Calais;2009;Avril;94.4
Alsace;2009;Mai;96.5
Bretagne;2009;Mai;96.0
Champagne-Ardenne;2009;Mai;95.9
Lorraine;2009;Mai;96.3
Provence-Alpes-Côte d'Azur;2009;Mai;83.3
Auvergne;2009;Juin;94.6
Haute Normandie;2009;Juin;93.5
Nord-Pas de Calais;2009;Juin;93.2
Picardie;2009;Juin;94.6
Alsace;2009;Juillet;96.4
Champagne-Ardenne;2009;Juillet;96.2
Lorraine;2009;Juillet;96.5
Nord-Pas de Calais;2009;Juillet;93.9
Rhône-Alpes;2009;Juillet;91.5
Bretagne;2009;Août;96.0
Languedoc-Roussillon;2009;Août;86.8
Poitou-Charentes;2009;Août;93.7
Aquitaine;2009;Septembre;86.2
Basse Normandie;2009;Septembre;95.8
Franche-Comté;2009;Septembre;93.5
Pays de la Loire;2009;Septembre;93.7
Ensemble des TER;2009;Septembre;92.3
Aquitaine;2009;Octobre;85.4
Centre;2009;Octobre;89.9
Nord-Pas de Calais;2009;Octobre;91.8
Rhône-Alpes;2009;Octobre;90.5
Alsace;2009;Novembre;95.2
Bretagne;2009;Novembre;92.6
Lorraine;2009;Novembre;95.3
Poitou-Charentes;2009;Novembre;89.9
Basse Normandie;2009;Décembre;93.1
Franche-Comté;2009;Décembre;92.8
Languedoc-Roussillon;2009;Décembre;92.1
Pays de la Loire;2009;Décembre;91.7
Aquitaine;2010;Janvier;89.6
Centre;2010;Janvier;89.3
Franche-Comté;2010;Janvier;88.8
Midi-Pyrénées;2010;Janvier;84.4
Ensemble des TER;2010;Janvier;89.9
Bourgogne;2010;Février;89.7
Limousin;2010;Février;94.5
Picardie;2010;Février;91.6
Provence-Alpes-Côte d'Azur;2010;Février;85.3
Ensemble des TER;2009;Décembre;90.9
Bourgogne;2010;Janvier;91.0
Limousin;2010;Janvier;94.8
Picardie;2010;Janvier;90.6
Provence-Alpes-Côte d'Azur;2010;Janvier;84.0
Auvergne;2010;Février;90.1
Haute Normandie;2010;Février;93.7
Nord-Pas de Calais;2010;Février;91.0
Alsace;2010;Mars;95.0
Bretagne;2010;Mars;97.0
Franche-Comté;2010;Mars;87.7
Midi-Pyrénées;2010;Mars;87.1
Ensemble des TER;2010;Mars;91.6
Bourgogne;2010;Avril;91.5
Centre;2010;Avril;90.4
Limousin;2010;Avril;94.2
Provence-Alpes-Côte d'Azur;2010;Avril;89.3
Auvergne;2010;Mai;95.3
Bourgogne;2010;Mai;92.4
Haute Normandie;2010;Mai;94.7
Picardie;2010;Mai;93.5
Alsace;2010;Juin;95.4
Champagne-Ardenne;2010;Juin;95.6
Lorraine;2010;Juin;95.9
Nord-Pas de Calais;2010;Juin;92.5
Rhône-Alpes;2010;Juin;89.5
Bretagne;2010;Juillet;97.2
Languedoc-Roussillon;2010;Juillet;85.1
Lorraine;2010;Juillet;96.6
Poitou-Charentes;2010;Juillet;86.5
Bourgogne;2010;Août;93.8
Haute Normandie;2010;Août;95.2
Limousin;2010;Août;95.4
Picardie;2010;Août;93.5
Auvergne;2010;Septembre;93.8
Champagne-Ardenne;2010;Septembre;95.8
Nord-Pas de Calais;2010;Septembre;92.1
Rhône-Alpes;2010;Septembre;90.7
Alsace;2010;Octobre;94.0
Bretagne;2010;Octobre;96.9
Lorraine;2010;Octobre;95.6
Poitou-Charentes;2010;Octobre;95.2
Rhône-Alpes;2010;Octobre;88.6
Basse Normandie;2010;Novembre;81.0
Languedoc-Roussillon;2010;Novembre;81.2
Pays de la Loire;2010;Novembre;88.4
Aquitaine;2010;Décembre;85.6
Centre;2010;Décembre;79.8
Franche-Comté;2010;Décembre;80.2
Midi-Pyrénées;2010;Décembre;88.7
Midi-Pyrénées;2011;Janvier;91.0
Ensemble des TER;2011;Janvier;91.4
Bourgogne;2011;Février;93.3
Centre;2011;Février;90.3
Limousin;2011;Février;94.9
Provence-Alpes-Côte d'Azur;2011;Février;90.9
Auvergne;2011;Mars;94.3
Bourgogne;2011;Mars;91.7
Haute Normandie;2011;Mars;96.6
Picardie;2011;Mars;95.2
Alsace;2011;Avril;94.7
Champagne-Ardenne;2011;Avril;94.9
Lorraine;2011;Avril;95.1
Nord-Pas de Calais;2011;Avril;93.3
Rhône-Alpes;2011;Avril;89.8
Bretagne;2011;Mai;95.8
Languedoc-Roussillon;2011;Mai;89.2
Midi-Pyrénées;2011;Mai;93.3
Provence-Alpes-Côte d'Azur;2011;Mai;89.0
Bourgogne;2011;Juin;90.4
Haute Normandie;2011;Juin;96.3
Limousin;2011;Juin;92.7
Picardie;2011;Juin;94.0
Auvergne;2011;Juillet;95.2
Champagne-Ardenne;2011;Juillet;95.1
Nord-Pas de Calais;2011;Juillet;94.7
Rhône-Alpes;2011;Juillet;90.4
Alsace;2011;Août;97.3
Bretagne;2011;Août;96.4
Lorraine;2011;Août;97.1
Poitou-Charentes;2011;Août;95.4
Rhône-Alpes;2011;Août;91.7
Basse Normandie;2011;Septembre;96.4
Languedoc-Roussillon;2011;Septembre;88.4
Pays de la Loire;2011;Septembre;94.0
Aquitaine;2011;Octobre;86.3
Centre;2011;Octobre;90.5
Haute Normandie;2011;Octobre;96.6
Nord-Pas de Calais;2011;Octobre;92.9
Alsace;2011;Novembre;93.9
Bretagne;2011;Novembre;93.1
Champagne-Ardenne;2011;Novembre;91.5
Lorraine;2011;Novembre;93.6
Rhône-Alpes;2011;Novembre;83.9
Basse Normandie;2011;Décembre;92.5
Bretagne;2011;Décembre;93.0
Languedoc-Roussillon;2011;Décembre;90.0
Poitou-Charentes;2011;Décembre;90.9
Aquitaine;2012;Janvier;87.8
Franche-Comté;2012;Janvier;88.7
Bourgogne;2009;Janvier;89.6
Haute Normandie;2009;Janvier;91.7
Nord-Pas de Calais;2009;Janvier;90.6
Rhône-Alpes;2009;Janvier;86.5
Alsace;2009;Février;95.1
Bretagne;2009;Février;96.3
Lorraine;2009;Février;94.2
Poitou-Charentes;2009;Février;93.3
Rhône-Alpes;2009;Février;86.2
Basse Normandie;2009;Mars;97.1
Languedoc-Roussillon;2009;Mars;89.4
Pays de la Loire;2009;Mars;94.2
Aquitaine;2009;Avril;87.9
Centre;2009;Avril;90.5
Franche-Comté;2009;Avril;92.2
Midi-Pyrénées;2009;Avril;88.8
Ensemble des TER;2009;Avril;92.3
Bourgogne;2009;Mai;94.3
Centre;2009;Mai;91.2
Limousin;2009;Mai;94.4
Rhône-Alpes;2009;Mai;91.4
Basse Normandie;2009;Juin;95.0
Bretagne;2009;Juin;93.8
Languedoc-Roussillon;2009;Juin;88.8
Poitou-Charentes;2009;Juin;93.3
Aquitaine;2009;Juillet;86.4
Franche-Comté;2009;Juillet;92.9
Midi-Pyrénées;2009;Juillet;85.8
Pays de la Loire;2009;Juillet;94.0
Ensemble des TER;2009;Juillet;91.5
Centre;2009;Août;92.7
Limousin;2009;Août;93.2
Midi-Pyrénées;2009;Août;87.2
Provence-Alpes-Côte d'Azur;2009;Août;83.6
Bourgogne;2009;Septembre;94.1
Haute Normandie;2009;Septembre;93.0
Picardie;2009;Septembre;95.4
Alsace;2009;Octobre;95.8
Auvergne;2009;Octobre;91.9
Champagne-Ardenne;2009;Octobre;94.7
Pays de la Loire;2009;Octobre;91.9
Ensemble des TER;2009;Octobre;91.1
Aquitaine;2009;Novembre;80.6
Centre;2009;Novembre;86.0
Midi-Pyrénées;2009;Novembre;85.3
Provence-Alpes-Côte d'Azur;2009;Novembre;87.4
Ensemble des TER;2009;Novembre;89.7
Bourgogne;2009;Décembre;91.2
Limousin;2009;Décembre;93.9
Picardie;2009;Décembre;90.3
Ensemble des TER;2010;Décembre;82.6
Bourgogne;2011;Janvier;89.9
Centre;2011;Janvier;88.5
Limousin;2011;Janvier;94.8
Provence-Alpes-Côte d'Azur;2011;Janvier;91.0
Auvergne;2011;Février;95.1
Haute Normandie;2011;Février;96.2
Nord-Pas de Calais;2011;Février;90.4
Picardie;2011;Février;93.6
Alsace;2011;Mars;95.8
Champagne-Ardenne;2011;Mars;95.5
Lorraine;2011;Mars;95.7
Nord-Pas de Calais;2011;Mars;93.5
Rhône-Alpes;2011;Mars;90.9
Bretagne;2011;Avril;95.0
Languedoc-Roussillon;2011;Avril;92.2
Poitou-Charentes;2011;Avril;94.3
Aquitaine;2011;Mai;90.5
Basse Normandie;2011;Mai;94.8
Franche-Comté;2011;Mai;91.5
Picardie;2011;Mai;95.2
Alsace;2011;Juin;93.9
Auvergne;2011;Juin;93.5
Champagne-Ardenne;2011;Juin;93.9
Nord-Pas de Calais;2011;Juin;94.3
Rhône-Alpes;2011;Juin;88.7
Alsace;2011;Juillet;96.6
Bretagne;2011;Juillet;95.2
Lorraine;2011;Juillet;96.2
Poitou-Charentes;2011;Juillet;93.5
Basse Normandie;2011;Août;96.2
Franche-Comté;2011;Août;89.7
Languedoc-Roussillon;2011;Août;87.6
Pays de la Loire;2011;Août;95.7
Aquitaine;2011;Septembre;89.3
Centre;2011;Septembre;92.8
Franche-Comté;2011;Septembre;88.0
Midi-Pyrénées;2011;Septembre;91.7
Ensemble des TER;2011;Septembre;92.7
Bourgogne;2011;Octobre;90.8
Champagne-Ardenne;2011;Octobre;93.7
Lorraine;2011;Octobre;95.9
Rhône-Alpes;2011;Octobre;88.8
Basse Normandie;2011;Novembre;92.1
Languedoc-Roussillon;2011;Novembre;86.5
Pays de la Loire;2011;Novembre;90.2
Poitou-Charentes;2011;Novembre;91.1
Aquitaine;2011;Décembre;88.3
Franche-Comté;2011;Décembre;86.7
Midi-Pyrénées;2011;Décembre;90.1
Provence-Alpes-Côte d'Azur;2010;Décembre;84.8
