saa_ide;csp_ide;saa_code;saa_name;coord;saa_xcoord;saa_ycoord;saa_insee;mainstoparea;mainconnection;carpark;multimodal;additionaldata;saa_visible
7789;2;OCE87447839;Pompignan;517407,1868937;517407;1868937;82142;1;0;0;0;;1
7791;2;OCE87609636;Réalville-Abri-Bus;0,0;0;0;82149;1;0;0;0;;1
7796;2;OCE87611863;gare de Valence-d'Agen;484233,1902234;484233;1902234;82186;1;0;0;0;;1
7804;2;OCE87594002;gare de Brive-la-Gaillarde;536449,2017215;536449;2017215;19031;1;0;0;0;;1
7809;2;OCE87451849;Eygurande-Bourg;608998,2073554;608998;2073554;19080;1;0;0;0;;1
7811;2;OCE87417865;Eyrein;568330,2038019;568330;2038019;19081;1;0;0;0;;1
7816;2;OCE87495184;Malemort-sur-Corrèze;538986,2019038;538986;2019038;19123;1;0;0;0;;1
7823;2;OCE87594275;gare de Meymac;586510,2058886;586510;2058886;19136;1;0;0;0;;1
7828;2;OCE87594630;gare de Objat;527021,2029790;527021;2029790;19153;1;0;0;0;;1
7835;2;OCE87544734;Daubech;0,0;0;0;19233;1;0;0;0;;1
7840;2;OCE87594069;Seilhac;551173,2040878;551173;2040878;19255;1;0;0;0;;1
7842;2;OCE87495176;Tulle-Cité-Admin;0,0;0;0;19272;1;0;0;0;;1
7847;2;OCE87544742;Aire-Covoiturage-45;540239,2044093;540239;2044093;19276;1;0;0;0;;1
7854;2;OCE87594655;gare de Vignols-St-Solve;526368,2035173;526368;2035173;19286;1;0;0;0;;1
7859;2;OCE87157982;Courcelles;0,0;0;0;23008;1;0;0;0;;1
7861;2;OCE87597823;gare de Aubusson;586352,2106759;586352;2106759;23008;1;0;0;0;;1
7866;2;OCE87158030;Chenerailles;587643,2123555;587643;2123555;23061;1;0;0;0;;1
7873;2;OCE87618363;Le Trois-et-Demi;549673,2135888;549673;2135888;23082;1;0;0;0;;1
7878;2;OCE87445007;Ste Feyre;567440,2126637;567440;2126637;23096;1;0;0;0;;1
7885;2;OCE87451831;Merinchal;611909,2102135;611909;2102135;23131;1;0;0;0;;1
7890;2;OCE87597724;gare de Parsac-Gouzon;587470,2133141;587470;2133141;23149;1;0;0;0;;1
7892;2;OCE87157842;La Pouge;569389,2109051;569389;2109051;23157;1;0;0;0;;1
7897;2;OCE87445023;St Martial le Mont;0,0;0;0;23214;1;0;0;0;;1
7905;2;OCE87592352;gare de Bersac;530045,2120808;530045;2120808;87013;1;0;0;0;;1
7910;2;OCE87592105;gare de Châteauneuf-Bujaleuf;546212,2084565;546212;2084565;87040;1;0;0;0;;1
7912;2;OCE87592543;gare de Le Dorat;502987,2135327;502987;2135327;87059;1;0;0;0;;1
7917;2;OCE87592048;gare de Les Bardys;525579,2100940;525579;2100940;87085;1;0;0;0;;1
7924;2;OCE87592808;gare de La Meyze;512306,2069625;512306;2069625;87096;1;0;0;0;;1
7929;2;OCE87408997;Pierre-Buffière-Ville;524008,2077521;524008;2077521;87119;1;0;0;0;;1
7931;2;OCE87592063;gare de Brignac;530392,2096373;530392;2096373;87129;1;0;0;0;;1
7936;2;OCE87592410;gare de Nieul;509695,2103690;509695;2103690;87143;1;0;0;0;;1
7943;2;OCE87592428;gare de Peyrilhac-St-Jouvent;509589,2107283;509589;2107283;87152;1;0;0;0;;1
7948;2;OCE87446047;St Léonard de Noblat Vi;534383,2093364;534383;2093364;87161;1;0;0;0;;1
7955;2;OCE87592451;gare de Vaulry;504981,2114568;504981;2114568;87198;1;0;0;0;;1
7960;2;OCE87743526;gare de Bellignat;853966,2142929;853966;2142929;1031;1;0;0;0;;1
7962;2;OCE87742726;Bellegarde-Lycée-Musine;868870,2129856;868870;2129856;1033;1;0;0;0;;1
7967;2;OCE87743302;gare de Ceyzériat;830713,2135849;830713;2135849;1072;1;0;0;0;;1
7974;2;OCE87741074;gare de Culoz;867313,2099516;867313;2099516;1138;1;0;0;0;;1
7979;2;OCE87158154;Ferney-Lycée;0,0;0;0;1160;1;0;0;0;;1
7981;2;OCE87556910;Gex-Vertes-Campagnes;886234,2154097;886234;2154097;1173;1;0;0;0;;1
7986;2;OCE87725838;gare de Mézériat;808982,2140799;808982;2140799;1246;1;0;0;0;;1
7993;2;OCE87743419;Nantua;852335,2133136;852335;2133136;1269;1;0;0;0;;1
7998;2;OCE87725846;gare de Polliat;814899,2142097;814899;2142097;1301;1;0;0;0;;1
6481;2;OCE87674622;Oulmes (Centre);369354,2159918;369354;2159918;85168;1;0;0;0;;1
6486;2;OCE87463034;La-Roche-sur-Yon-Vendée;311493,2192708;311493;2192708;85191;1;0;0;0;;1
6493;2;OCE87359356;St-Jean-de-Mts-Esp-Mer;0,0;0;0;85234;1;0;0;0;;1
6498;2;OCE87473827;gare de Brélidy-Plouec;192649,2422183;192649;2422183;22018;1;0;0;0;;1
6505;2;OCE87478180;gare de Corseul-Languenan;269121,2398010;269121;2398010;22048;1;0;0;0;;1
6510;2;OCE87473207;gare de Guingamp;195703,2409303;195703;2409303;22070;1;0;0;0;;1
6512;2;OCE87473264;gare de Landébia;255150,2400090;255150;2400090;22096;1;0;0;0;;1
6517;2;OCE87473512;gare de Mousteru;187934,2404509;187934;2404509;22156;1;0;0;0;;1
6524;2;OCE87478149;gare de Pleudihen;282398,2397635;282398;2397635;22197;1;0;0;0;;1
6529;2;OCE87473876;gare de Frynaudour;198076,2428388;198076;2428388;22233;1;0;0;0;;1
6531;2;OCE87322347;gare de Traou Nez;197742,2430681;197742;2430681;22233;1;0;0;0;;1
6536;2;OCE87473835;gare de Pontrieux (Halte);195216,2425225;195216;2425225;22250;1;0;0;0;;1
6543;2;OCE87474007;gare de Brest;95718,2398457;95718;2398457;29019;1;0;0;0;;1
6548;2;OCE87473769;Port-de-Carhaix;159214,2377109;159214;2377109;29024;1;0;0;0;;1
6555;2;OCE87474544;Henvic (Centre);138671,2422126;138671;2422126;29079;1;0;0;0;;1
6560;2;OCE87414318;Morlaix-Lycée-Corbière;145740,2414281;145740;2414281;29151;1;0;0;0;;1
6563;2;OCE87474551;Plouénan (Car.C25/D769);135514,2423371;135514;2423371;29184;1;0;0;0;;1
6568;2;OCE87474262;gare de La Roche (Maurice);116732,2406256;116732;2406256;29237;1;0;0;0;;1
6575;2;OCE87474312;gare de St-Thégonnec;135848,2406948;135848;2406948;29266;1;0;0;0;;1
6580;2;OCE87478065;gare de Bonnemain;296734,2394394;296734;2394394;35029;1;0;0;0;;1
6582;2;OCE87471037;gare de Bruz;295164,2344519;295164;2344519;35047;1;0;0;0;;1
6587;2;OCE87478057;gare de Combourg;299213,2387458;299213;2387458;35085;1;0;0;0;;1
6594;2;OCE87478099;gare de La Gouesnière-Cancale;287211,2410192;287211;2410192;35122;1;0;0;0;;1
6599;2;OCE87471201;gare de Fougeray-Langon;286009,2311786;286009;2311786;35145;1;0;0;0;;1
6601;2;OCE87471185;gare de Messac-Guipry;288985,2321871;288985;2321871;35176;1;0;0;0;;1
6606;2;OCE87478032;gare de Montreuil-sur-Ille;302530,2375075;302530;2375075;35195;1;0;0;0;;1
6613;2;OCE87471391;gare de Pontchaillou;300160,2354261;300160;2354261;35238;1;0;0;0;;1
6618;2;OCE87478016;gare de St-Germain-sur-Ille;303682,2367510;303682;2367510;35274;1;0;0;0;;1
6625;2;OCE87471029;gare de Vern;306845,2345961;306845;2345961;35352;1;0;0;0;;1
6630;2;OCE87289678;Carnac;193386,2300003;193386;2300003;56034;1;0;0;0;;1
6632;2;OCE87476309;gare de Gestel;167409,2327437;167409;2327437;56063;1;0;0;0;;1
6637;2;OCE87473595;Kerbiquet;155989,2361368;155989;2361368;56081;1;0;0;0;;1
6644;2;OCE87476689;gare de Malansac;252353,2307575;252353;2307575;56123;1;0;0;0;;1
6649;2;OCE87476556;Pontivy;205015,2353590;205015;2353590;56178;1;0;0;0;;1
6651;2;OCE87476457;Quiberon;189259,2290473;189259;2290473;56186;1;0;0;0;;1
6656;2;OCE87289652;Trinité-sur-Mer (La);196828,2301315;196828;2301315;56258;1;0;0;0;;1
6664;2;OCE87491506;gare de Châteauneuf/Charente;413796,2069451;413796;2069451;16090;1;0;0;0;;1
6669;2;OCE87583823;gare de Luxé;427130,2101001;427130;2101001;16196;1;0;0;0;;1
6671;2;OCE87583427;gare de La Rochefoucauld;448485,2084086;448485;2084086;16281;1;0;0;0;;1
6676;2;OCE87437806;gare de Aytre.-Plage;332319,2131174;332319;2131174;17028;1;0;0;0;;1
6753;2;OCE87577403;gare de Iteuil (Centre);445101,2166996;445101;2166996;86113;1;0;0;0;;1
6758;2;OCE87485540;gare de Lusignan;429363,2161848;429363;2161848;86139;1;0;0;0;;1
6765;2;OCE87575001;gare de Poitiers;446475,2177753;446475;2177753;86194;1;0;0;0;;1
6770;2;OCE87575365;gare de St-Saviol;436346,2129649;436346;2129649;86247;1;0;0;0;;1
6772;2;OCE87577395;Vouillé;0,0;0;0;86294;1;0;0;0;;1
6777;2;OCE87584268;gare de Bergerac;454018,1985723;454018;1985723;24037;1;0;0;0;;1
6784;2;OCE87595280;gare de Douzillac;448821,2010589;448821;2010589;24157;1;0;0;0;;1
6789;2;OCE87584151;gare de Lamothe-Montravel;416949,1986378;416949;1986378;24226;1;0;0;0;;1
6791;2;OCE87595553;gare de Limeyrat;493137,2018217;493137;2018217;24241;1;0;0;0;;1
6796;2;OCE87595538;gare de Milhac-d'Auberoche;488366,2015280;488366;2015280;24270;1;0;0;0;;1
4907;2;OCE87576736;Langon (Loir-et-Cher);561321,2253903;561321;2253903;41110;1;0;0;0;;1
4913;2;OCE87332635;Mondoubleau-Station-Tot;492255,2332180;492255;2332180;41143;1;0;0;0;;1
4915;2;OCE87453399;Morée-Salle-des-Fêtes;517635,2323112;517635;2323112;41154;1;0;0;0;;1
4920;2;OCE87576199;gare de Pruniers;549751,2257267;549751;2257267;41185;1;0;0;0;;1
4927;2;OCE87309765;St-Hilaire-La-Gravelle;515599,2325650;515599;2325650;41214;1;0;0;0;;1
4932;2;OCE87576868;gare de Selles-sur-Cher;540209,2253841;540209;2253841;41242;1;0;0;0;;1
4934;2;OCE87543199;gare de Theillay;577920,2257223;577920;2257223;41256;1;0;0;0;;1
4939;2;OCE87576884;gare de Villefranche-sur-Cher;557005,2255157;557005;2255157;41280;1;0;0;0;;1
4946;2;OCE87543033;gare de Cercottes;566252,2331998;566252;2331998;45062;1;0;0;0;;1
4951;2;OCE87684233;gare de Dordives;631704,2349920;631704;2349920;45127;1;0;0;0;;1
4958;2;OCE87684001;gare de Montargis;630331,2334291;630331;2334291;45208;1;0;0;0;;1
4963;2;OCE87137448;Orléans-Gare-Routière;567863,2323278;567863;2323278;45234;1;0;0;0;;1
4965;2;OCE87543116;gare de St-Cyr-en-Val-La-Source;570872,2313382;570872;2313382;45272;1;0;0;0;;1
4970;2;OCE87444000;gare de Caen;404136,2467647;404136;2467647;14118;1;0;0;0;;1
4977;2;OCE87447219;gare de Lison;353192,2475242;353192;2475242;14367;1;0;0;0;;1
4983;2;OCE87444349;gare de Pont-l'Evêque;443873,2478728;443873;2478728;14514;1;0;0;0;;1
4986;2;OCE87447714;gare de St-Sever (Gare);351222,2432631;351222;2432631;14658;1;0;0;0;;1
4991;2;OCE87448167;Vire-Centre;363655,2432371;363655;2432371;14762;1;0;0;0;;1
4998;2;OCE87447649;gare de Folligny;325151,2432190;325151;2432190;50188;1;0;0;0;;1
5003;2;OCE87447508;Orval-Hyenville;321968,2450849;321968;2450849;50388;1;0;0;0;;1
5005;2;OCE87478263;gare de Pontorson-Mt-St-Michel;316407,2401792;316407;2401792;50410;1;0;0;0;;1
5010;2;OCE87447698;gare de Villedieu (Gare);338454,2432128;338454;2432128;50639;1;0;0;0;;1
5017;2;OCE87448084;gare de Briouze;400921,2414922;400921;2414922;61063;1;0;0;0;;1
5022;2;OCE87448464;La Ferté-Macé;401325,2402966;401325;2402966;61168;1;0;0;0;;1
5029;2;OCE87448100;Messei-Centre;388330,2416661;388330;2416661;61278;1;0;0;0;;1
5034;2;OCE87444695;gare de Sées;439880,2402378;439880;2402378;61464;1;0;0;0;;1
5036;2;OCE87352484;Bagnoles-de-l'Orne O.T.;397041,2398940;397041;2398940;61483;1;0;0;0;;1
5041;2;OCE87713347;gare de Auxonne;830346,2248135;830346;2248135;21038;1;0;0;0;;1
5048;2;OCE87712265;gare de Brétigny-Norges;809326,2269241;809326;2269241;21107;1;0;0;0;;1
5054;2;OCE87713321;gare de Collonges (Côte-d'Or);821814,2250942;821814;2250942;21183;1;0;0;0;;1
5056;2;OCE87719922;Coulmier-le-Sec;761733,2307833;761733;2307833;21201;1;0;0;0;;1
5061;2;OCE87719930;Etais;757671,2303089;757671;2303089;21252;1;0;0;0;;1
5068;2;OCE87694497;Liernais;746220,2247803;746220;2247803;21349;1;0;0;0;;1
5073;2;OCE87713560;gare de Meursault;787069,2221736;787069;2221736;21412;1;0;0;0;;1
5080;2;OCE87117267;Orville;816407,2288974;816407;2288974;21472;1;0;0;0;;1
3559;2;OCE87502039;André-Malraux;0,0;0;0;77288;1;0;0;0;;1
3564;2;OCE87271528;gare de Mitry-Claye;622413,2441999;622413;2441999;77294;1;0;0;0;;1
3571;2;OCE87116244;gare de Mortcerf;641992,2421365;641992;2421365;77318;1;0;0;0;;1
3576;2;OCE87758359;gare de Noisiel;620552,2427283;620552;2427283;77337;1;0;0;0;;1
3578;2;OCE87116020;gare de Ozoir-la-Ferrière;625992,2419198;625992;2419198;77350;1;0;0;0;;1
3583;2;OCE87116046;gare de Emerainville-Pontault-C;620703,2423139;620703;2423139;77373;1;0;0;0;;1
3590;2;OCE87116178;gare de Ste-Colombe-Septveilles;668023,2392778;668023;2392778;77404;1;0;0;0;;1
3596;2;OCE87590521;Savigny-le-Temple-Nocti;618199,2399672;618199;2399672;77445;1;0;0;0;;1
3598;2;OCE87433102;Val-d'Europe-Serris-Mon;0,0;0;0;77449;1;0;0;0;;1
3603;2;OCE87985531;Torcy-Collège-Jean-Monn;0,0;0;0;77468;1;0;0;0;;1
3610;2;OCE87116079;gare de Verneuil-l'Etang;635987,2405248;635987;2405248;77493;1;0;0;0;;1
3615;2;OCE87605444;Achères-Ville-Noctilien;0,0;0;0;78005;1;0;0;0;;1
3622;2;OCE87382440;gare de Bougival;585002,2428451;585002;2428451;78092;1;0;0;0;;1
3627;2;OCE87432880;Houilles-Noctilien;0,0;0;0;78124;1;0;0;0;;1
3629;2;OCE87758060;gare de Chatou-Croissy;586783,2431915;586783;2431915;78146;1;0;0;0;;1
2329;2;OCE85092551;gare de Pontresina;0,0;0;0;;1;0;0;0;;1
2336;2;OCE71222018;gare de Porrino;0,0;0;0;;1;0;0;0;;1
2341;2;OCE83075143;gare de PORTO D'ASCOLI;0,0;0;0;;1;0;0;0;;1
2343;2;OCE94020060;gare de Porto-Campanha;0,0;0;0;;1;0;0;0;;1
2348;2;OCE71505040;gare de Posadas;0,0;0;0;;1;0;0;0;;1
2355;2;OCE88426890;gare de Poulseur;0,0;0;0;;1;0;0;0;;1
2360;2;OCE54572560;gare de Praha-Holesovice;0,0;0;0;;1;0;0;0;;1
2363;2;OCE83117259;gare de Praja-Ajeta-Tortora;0,0;0;0;;1;0;0;0;;1
2368;2;OCE85093641;gare de PRESE;0,0;0;0;;1;0;0;0;;1
2375;2;OCE80201509;gare de Prien;0,0;0;0;;1;0;0;0;;1
2380;2;OCE79433557;gare de Ptuj;0,0;0;0;;1;0;0;0;;1
2387;2;OCE71373001;gare de Puertollano;0,0;0;0;;1;0;0;0;;1
2392;2;OCE88227157;gare de Puurs;0,0;0;0;;1;0;0;0;;1
2394;2;OCE71603019;gare de Quero;0,0;0;0;;1;0;0;0;;1
2399;2;OCE76005199;gare de RADE;0,0;0;0;;1;0;0;0;;1
2407;2;OCE54760942;gare de RAKOVNIK;0,0;0;0;;1;0;0;0;;1
2412;2;OCE83047209;gare de Rapallo;0,0;0;0;;1;0;0;0;;1
2414;2;OCE85016048;gare de Raron;0,0;0;0;;1;0;0;0;;1
2419;2;OCE83058115;gare de Ravenna;0,0;0;0;;1;0;0;0;;1
2426;2;OCE71223008;gare de Redondela de Galicia;0,0;0;0;;1;0;0;0;;1
2431;2;OCE83052548;gare de Reggio-Emilia-AV;0,0;0;0;;1;0;0;0;;1
2433;2;OCE80067041;gare de Reichenbach v.o.b;0,0;0;0;;1;0;0;0;;1
2438;2;OCE81022277;gare de REITH;0,0;0;0;;1;0;0;0;;1
2446;2;OCE80293084;gare de Reutlingen;0,0;0;0;;1;0;0;0;;1
