70248500;Llandudno J;0;0
83118513;Locri;0;0
80135889;Lohne;0;0
10001420;Loimaa;0;0
70612101;London-King'S-Cross;0;0
71060061;Lorca-Sutullena;0;0
70189704;LOUGHBOROUGH;0;0
80290171;Ludwigsburg;0;0
80040105;LUEBBEN(SPREEWALD);0;0
80016766;LUEBECK TRAVEMUENDE;0;0
83031252;LUMIGNACCO;0;0
94460949;Luso Bucaco;0;0
82001000;Luxembourg;874714;2518035
54534560;LUZNA U RAKOVNIKA;0;0
84004226;Maassluis;0;0
71376046;Madrid-Vallecas;0;0
70314708;Maidenhead;0;0
80190546;MAINZ SUED;0;0
71544130;Malaga;0;0
53811836;Mangalia;0;0
84004275;Mantgum;0;0
81029009;Marchegg Gr;0;0
56134908;Margecany;0;0
54744052;Marianske-Lazne;0;0
80145805;MARKELFINGEN;0;0
85015008;Martigny.;0;0
71795000;Mataro;0;0
83002071;MEANA;0;0
53806844;Medgidia;0;0
80015297;MELDORF;0;0
88930396;Melle.;0;0
80210781;MEPPEN;0;0
82001100;Mersch;0;0
80253492;MERZIG SAAR;0;0
79425025;Metlika;0;0
87589564;Gannat-Lycée-Eiffel;666613;2121027
88950000;Aalst;0;0
86000539;Aarhus H;0;0
81038778;ABFALTERSBACH;0;0
54330159;ADAMOV;0;0
83117051;Agropoli Castellabate;0;0
71141143;Aguilar-de-Campoo;0;0
85014001;Aigle;0;0
83078006;Alba-Adriatica;0;0
94780635;Albufeira;0;0
83004705;Alessandria;0;0
71060020;Alhama-de-Murcia;0;0
87193383;Herny;902984;2453034
87193276;Hombourg-Haut;924006;2467836
87406793;Hombourg (Tilleuls);891225;2485248
87193565;Ippling;940910;2466613
87406819;Kuntzig (Bibiche);884090;2489954
87190801;Loupershouse;934471;2463391
87192120;Lucy;902704;2446187
87193219;Merten;915018;2481000
87406843;Metzervisse (Eglise);887010;2486819
87407155;Morhange (Pl. Républiq);915032;2444796
87476887;Romelfing-Rte-Départale;0;0
87192203;Peltre;883972.59;2459906.01
87191411;Remelfang;903425;2482982
87199604;Gros-Réderching;956837;2463309
87414011;St-Louis57;957381;2424368
87407015;Sarraltroff (Mairie);947299;2429841
87215012;Sarrebourg;946857;2425900
87477620;Sarrebourg-Abri-Phalsbo;0;0
87193607;Welferding;943880;2467486
87193342;Téting (Moselle);916421.09;2459138.17
87191007;Thionville;878566;2490833
87193771;Woelfling-Sarreguemines;954539;2466158
87144758;Autrey;922771;2375319
87146332;La Bresse;938864;2343968
87144055;Charmes (Vosges);893656;2382932
87144691;Cornimont;935969;2338883
87405787;Cornimont (Lansauchamp);935765;2341352
87144709;Deinvillers;914142;2388938
87144642;Etival-Clairefontaine;936332.6;2383948.11
87144550;Fresse;932434;2328999
87144089;Igney;901549;2371336
87144329;Lesseux-Frapelle;951612;2376237
87144212;Mirecourt;881356;2373479
87144204;Poussay;881034;2376017
87144345;Provenchères-sur-Fave;952145.35;2377933.47
87405670;Rambervillers (Boucher);918596;2380721
87405829;Remiremont (Magdelaine);919022;2343097
87405894;Hielle (Lépange);920265;2337020
87144477;St-Léonard (Vosges);942133.52;2367648.64
87146217;St-Nabord;916395.64;2347045.1
87144675;Saulxures sur Moselotte;931093;2337081
87144097;Thaon;902940.22;2368485.74
87144469;Vecoux;920878;2339825
87215681;Adamswiller;957457;2445474
87214247;Barr;978956;2390646
87214775;Bourg-Bruche;955638;2384289
87214551;Dachstein;983574;2406479
87214338;Dorlisheim;980755;2404255
87214528;Entzheim-Aéroport;990529;2407377
87215715;Frohmuhl;962232;2445776
87142141;Hortes;840548;2320694
87117325;Pisseloup;854782;2319779
87175133;Bayard;802298;2398279
87217059;Langres-La-Maladière;823633;2323365
87215038;Marnay-sur-Marne;816686;2339146
87142612;Prauthoy;821982;2302037
87143206;Rivières-le-Bois;832838;2308854
87107508;Marnaval-Eglise;795653;2406260
87338178;Vecqueville;807642;2387971
87175208;Villiers-en-Lieu;788696;2410268
87279869;Vouécourt;807840;2366832
87296327;Athies-sous-Laon;697578;2509057
87297200;Chaourse;719765;2523718
87297192;Chivres-en-Laonnois;708848;2516222
87271874;Crouy;674153;2490070
87296871;Flavy-le-Martel;661676;2524965
87297176;GIZY-Angle-D977;704057;2512327
87296012;Laon;693251;2508923
87588756;Liesse-Centre;706104;2513447
87296095;Marle-sur-Serre;703411;2528751
87296384;Montcornet-Gare;721324;2523595
87182915;Neuenburg-Baden-Frontiè;1041126;2395923
80223537;Neumarkt (Oberpfalz);0;0
80254466;Neunkir-Hbf;0;0
80143842;Neustadt-Schwarzw;0;0
54352856;NEZAMYSLICE;0;0
83117648;NICOTERA;0;0
80137323;NIENBURG WESER;0;0
20260208;NIJNII NOVGOROD-MOSKOVS;0;0
80020156;NOERDLINGEN;0;0
76018101;NORDAGUTU;0;0
70106906;NORTHAMPTON;0;0
72165019;Nova-Pazova;0;0
71609073;NOVELDA ASPE;0;0
72168088;Novi Sad;0;0
70107706;Nuneaton;0;0
54532143;NYMBURK HLAVNI NADRAZI;0;0
80534149;Obergries;0;0
85060160;OBERWINTERTHUR;0;0
86006494;Oesterport;0;0
85072975;Oey-Diemtigen;0;0
54551366;OLBRAMOVICE;0;0
78756114;OPATIJA-MATULJI;0;0
88121467;Opwijk;0;0
53424010;Oradea;0;0
71312157;Orense-S.-F.;0;0
80143248;Orschweier;0;0
76002204;Oslo-Gardermoen;0;0
80190652;OSTHOFEN;0;0
54758557;OSTROV NAD OHRI;0;0
87414037;Henridorff;958466;2426122
87191353;Hombourg;891731;2482875
87406777;Hombourg (Chapelle);891580;2485012
87193540;Hundling;939201;2466643
87191312;Kuntzig;883320;2490619
87215319;Loudrefing;933259;2437736
87191627;Malling;887891;2498851
87191296;Metzeresche;888760;2485239
87406835;Metzervisse (Centre);887237;2486987
87192286;Morhange;916718;2446325
87215343;Oberstinzel;945194;2431896
87193110;Baronville;913014;2445892
87215079;Reding;950012;2426635
87476853;Remilly-Place-du-11-Nov;0;0
87463638;St-Louis-57-Incliné;0;0
87215350;Sarraltroff;947596;2429525
87407023;Sarraltroff Ag. Postale;947249;2429930
87407031;Sarrebourg Usine Méphis;947842;2427269
87406900;Sarreguemines (Poste);945180;2467610
87193151;Téterchen;908624;2478254
87193656;Wittring;951186.28;2461614.11
87193649;Zetting;950548.88;2464068.56
87117457;Autreville;859665;2393051
87524850;Bresse-Claudel (la);0;0
87144584;Bussang;937610;2330128
87144196;Corcieux-Vanémont;937456.12;2365229.57
87405779;Cornimont (Hôp. Rural);935502;2339892
87405951;Darnieulles (Stat. Sce);899178;2362969
87144006;Epinal;905199;2361187
87146308;Frémifontaine;923237;2373121
87144220;Hymont-Mattaincourt;882339;2370354
87144048;Lépanges;922360;2361508
87405977;Mattaincourt De Gaulle;0;0
87405746;Neufchâteau (Hôpital);0;0
87405662;Rambervillers (11 Nov);918748;2379188
87144105;Raves-Ban-de-Laveline;948871.89;2373398.04
87405910;Remiremont (Cora);918957;2342599
87144311;Rozières-sur-Mouzon;850772.56;2352231.42
87144014;St-Dié-des-Vosges;942181.16;2374813.6
87144683;St-Michel-sur-Meurthe;937408;2379603.75
87117143;St-Pierremont;913658;2390530
87193268;Peccavillers;923031;2344034
87144659;Zainvillers;926748;2341845
87144121;Xertigny;901100;2347046
87213611;Bischwiller;1005308;2432788
87006239;Buswiller;0;0
87214817;Val-de-Villé;974379;2376931
87215665;Diemeringen;955197;2448987
87214239;Eichhoffen;978538;2388286
87212266;Fegersheim-Lipsheim;994239;2401399
87449058;Verdalle-Centre;585766;1834363
87139089;Albias-Abri-Bus;528703;1899200
87611632;Beaumont-de-Lomagne;491588;1876584
87613356;Caussade (T.-et-G.);535703;1907110
87505909;Laguépie-Eglise;569781;1903172
87464552;Marignac-82;486545;1871870
87677963;Montech;509811;1884524
87613380;Réalville;531117;1901882
87139105;Réalville-Place;531421;1901704
87613489;Lexos;563789;1904652
87592162;Bugeat;567849;2066775
87641241;Eygurande-Merlines;609701;2071671
87734764;Lagraulière;545297;2039397
87594416;La Rivière-de-Mansac;523567;2015932
87450064;Meymac-Bourg;0;0
87592188;Barsanges;575193;2062896
87361980;Rosiers-d'Egletons;574268;2041824
87594861;St-Pardoux-le-Vieux;595336;2067238
87417758;Tulle-Prefecture;555430;2030116
87594200;Uzerche;540034;2049202
87445015;Ahun;577578;2120832
87445031;Fourneaux;584449;2113863
87641845;Auzances;612024;2114272
87597864;Clairavaux;586457;2086280
87417816;Fontanieres;612658;2123277
87597740;Lavaufranche;594902;2146812
87484089;Mars (les);610973;2108282
87597674;Montaigut (Creuse);553438;2126469
87484097;Rougnat;612807;2117135
87483982;Merd-la-Breuille (St);607846;2082646
87618371;St-Vaury;0;0
87115139;Boisseuil la Plaine;521955;2085244
87592121;Eymoutiers-Vassiviere;553669;2082331
87592006;Limoges-Bénédictins;516941;2093446
87592444;Nantiat;508600;2112406
87592295;La Porcherie;537688;2064056
87157966;Royeres;529638;2094650
87344960;St-Genest-sur-Roselle;529026;2078520
87592709;St-Junien;488526;2098927
87592055;St-Priest-Taurion;527342;2098976
87592683;St-Victurnien;496996;2098260
87592675;Verneuil-sur-Vienne;504909;2093801
87745000;Bellegarde;869488;2129256
