spt_ide;saa_ide;spt_code;spt_name;coord;spt_xcoord;spt_ycoord;spt_insee;csp_ide;spt_ufr;spt_sheltered;spt_elevator;spt_escalator;spt_bikeaccepted;spt_bikedepot;spt_visualannouncement;spt_audibleannouncement;spt_appropriatesignage;spt_appropriateescort
12090;7751;OCECar TER-87615674;gare de Tanus;598266,1899885;598266;1899885;81292;2;0;0;0;0;0;0;0;0;0;0
12092;7753;OCE9-87442202;Teulat;548054,1847835;548054;1847835;81298;2;0;0;0;0;0;0;0;0;0;0
12097;7756;OCE9-87442806;Villefranche-d'-Alb.cen;599531,1877188;599531;1877188;81317;2;0;0;0;0;0;0;0;0;0;0
12105;7760;OCECar TER-87613398;gare de Albias;528523,1899365;528523;1899365;82002;2;0;0;0;0;0;0;0;0;0;0
12110;7762;OCE9-87462820;Bourret;504706,1883552;504706;1883552;82023;2;0;0;0;0;0;0;0;0;0;0
12112;7764;OCE9-87447847;Canals-Eglise;515911,1872742;515911;1872742;82028;2;0;0;0;0;0;0;0;0;0;0
12117;7766;OCECorail Lunιa-87613356;gare de Caussade (T.-et-G.);535703,1907110;535703;1907110;82037;2;0;0;0;0;0;0;0;0;0;0
12124;7768;OCECar TER-87611681;gare de Dieupentale;514656,1874297;514656;1874297;82048;2;0;0;0;0;0;0;0;0;0;0
12129;7771;OCE9-87611673;gare de Grisolles;516777,1870122;516777;1870122;82075;2;0;0;0;0;0;0;0;0;0;0
12131;7772;OCETrain TER-87613471;gare de Laguιpie;570534,1904980;570534;1904980;82088;2;0;0;0;0;0;0;0;0;0;0
12136;7774;OCECar TER-87611855;gare de Lamagistθre;478951,1903987;478951;1903987;82089;2;0;0;0;0;0;0;0;0;0;0
12143;7778;OCE9-87464552;Marignac-82;486545,1871870;486545;1871870;82103;2;0;0;0;0;0;0;0;0;0;0
12148;7781;OCECar TER-87611244;gare de Montauban-Ville-Bourbon;520166,1890863;520166;1890863;82121;2;0;0;0;0;0;0;0;0;0;0
12155;7782;OCE9-87441840;Montauban-Gare-Routiθre;520430,1891008;520430;1891008;82121;2;0;0;0;0;0;0;0;0;0;0
12160;7785;OCE9-87677963;Montech;509811,1884524;509811;1884524;82125;2;0;0;0;0;0;0;0;0;0;0
12162;7786;9-87613331;Montpezat;533520,1918900;533520;1918900;82131;2;0;0;0;0;0;0;0;0;0;0
12167;7791;OCECar TER-87609636;Rιalville-Abri-Bus;0,0;0;0;82149;2;0;0;0;0;0;0;0;0;0;0
12174;7796;OCECar TER-87611863;gare de Valence-d'Agen;484233,1902234;484233;1902234;82186;2;0;0;0;0;0;0;0;0;0;0
12179;7797;OCECar TER-87613489;gare de Lexos;563789,1904652;563789;1904652;82187;2;0;0;0;0;0;0;0;0;0;0
12181;7799;OCETrain TER-87594234;gare de Allassac;532211,2029103;532211;2029103;19005;2;0;0;0;0;0;0;0;0;0;0
12186;7801;OCETrain TER-87594465;gare de Aubazine-St-Hilaire;545407,2020379;545407;2020379;19013;2;0;0;0;0;0;0;0;0;0;0
12193;7804;OCECar TER-87594002;gare de Brive-la-Gaillarde;536411,2017223;536411;2017223;19031;2;0;0;0;0;0;0;0;0;0;0
12198;7805;OCE9-87592162;gare de Bugeat;567852,2066761;567852;2066761;19033;2;0;0;0;0;0;0;0;0;0;0
12201;7806;OCETrain TER-87594481;gare de Cornil;549801,2024042;549801;2024042;19061;2;0;0;0;0;0;0;0;0;0;0
12206;7807;OCETrain TER-87594119;gare de Corrθze;564232,2036643;564232;2036643;19062;2;0;0;0;0;0;0;0;0;0;0
12213;7810;OCECar TER-87641241;gare de Eygurande-Merlines;610015,2071720;610015;2071720;19080;2;0;0;0;0;0;0;0;0;0;0
12218;7812;9-87734764;Lagrauliθre;545297,2039397;545297;2039397;19100;2;0;0;0;0;0;0;0;0;0;0
12225;7817;OCETrain TER-87594416;gare de La Riviθre-de-Mansac;523598,2015925;523598;2015925;19124;2;0;0;0;0;0;0;0;0;0;0
12230;7820;9-87152413;Maussac Pl de la Poste;584640,2052340;584640;2052340;19130;2;0;0;0;0;0;0;0;0;0;0
12232;7822;OCETrain TER-87594085;gare de Jassonneix;584618,2060367;584618;2060367;19136;2;0;0;0;0;0;0;0;0;0;0
12237;7823;9-87594275;gare de Meymac;586510,2058886;586510;2058886;19136;2;0;0;0;0;0;0;0;0;0;0
12244;7826;9-87594176;Naves (Corrθze);555437,2034839;555437;2034839;19146;2;0;0;0;0;0;0;0;0;0;0
12249;7830;OCETrain TER-87592170;gare de Perols;571987,2064983;571987;2064983;19160;2;0;0;0;0;0;0;0;0;0;0
203;180;OCETrain-70861005;gare de Aviemore;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
533;458;OCETrain-88140010;gare de Bruxelles-M./Brussel-Z.;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
802;703;OCETrain-83045112;gare de Diano Marina;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
1136;998;OCETrain-80144972;gare de Gengenbach;1068828,2464259;1068828;2464259;;2;0;0;0;0;0;0;0;0;0;0
1606;1412;OCETrain-80053611;gare de Kassel-Hbf;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
1944;1714;OCETrain-70224600;gare de Liverpool;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2076;1822;OCETrain-80140087;gare de Mannheim-Hbf;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
2407;2113;OCETGV-83002485;gare de Novara;1091471,2069701;1091471;2069701;;2;0;0;0;0;0;0;0;0;0;0
2877;2538;OCETrain-56150607;gare de Roznava;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
3209;2844;OCETrain-76007088;gare de STANGE;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
3678;3270;OCEICE-80160192;gare de Weimar.;0,0;0;0;;2;0;0;0;0;0;0;0;0;0;0
3989;3500;OCETrain TER-87682203;gare de Bois-le-Roi;626292,2386365;626292;2386365;77037;2;0;0;0;0;0;0;0;0;0;0
4099;3560;OCETransilien-87682005;gare de Melun;623561,2392141;623561;2392141;77288;2;0;0;0;0;0;0;0;0;0;0
