UIC;Remontée dans TVS National;Code TVS export TGD/ TGA;Libellé;affichage GeM;Info TIC;code QLT;code UIC 8;;
313 304;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CDO;Clermont de l'Oise;01/01/2013;;FRCQZ;87313304;;
594 382;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CDT;Condat le Lardin;01/01/2013;;FRFJK;87594382;;
144 071;26/02/2013;CEO;Châtel - Nomexy;OUI;;FRAXQ;87144071;;
785 006;10/10/2012;CER;Cerbère;OUI;;;87785006;;
171 926;Avant Avril 2011;CGV;Champagne Ardenne TGV;OUI;OUI;FREAH;87171926;;
576 298;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CHC;Châteauneuf sur Cher;01/01/2013;;FREYC;87576298;;
484 246;16/04/2013;CHE;Chemillé;OUI;;FREHK;87484246;;
394 007;Avant Avril 2011;CHH;Chartres;OUI;NON;FRQTJ;87394007;;
142 000;Avant Avril 2011;CHM;Chaumont;23/03/2012;NON;FRXCW;87142000;;
763 425;11/12/2012;CHO;Chorges - Pas d'Arrivées;12/12/2012;;FRIGS;87763425;;
484 303;29/10/2013;CHT;Cholet;NON;NON;FRCET;87484303;;
746 784;16/04/2013;CHX;Chamonix-Mont-Blanc;OUI;;FRXCF;87746784;;
713 578;19/04/2012;CHY;Chagny;26/04/2012;NON;FRCGY;87713578;;
723 452;26/02/2013;CIU;Cessieu;OUI;;FRHFA;87723452;;
747 212;Avant Avril 2011;CKN;Chabons;17/02/2012;NON;FRHVJ;87747212;;
734 004;Avant Avril 2011;CLF;Clermont Ferrand;OUI;OUI;FRCFE;87734004;;
276 006;Avant Avril 2011;CLH;Creil;OUI;OUI;FRCSF;87276006;;
481 440;Avant Avril 2011;CLI;Clisson;23/03/2012;NON;FRCLI;87481440;;
723 502;05/03/2013;CLP;Crépieux la Pape;OUI;;FRHFC;87723502;;
481 390;21/05/2013;CLS;Challans;OUI;;FRCLS;87481390;;
746 370;02/09/2011;CLU;Cluses;OUI;NON;FRHTZ;87746370;;
174 003;Avant Avril 2011;CMP;Châlons en Champagne;OUI;OUI;FRXCR;87174003;;
182 014;Avant Avril 2011;CMR;Colmar;OUI;OUI;FRAEJ;87182014;;
615 625;11/12/2012;CMX;Carmaux;12/12/2012;;FRFWA;87615625;;
641 415;02/09/2011;CMY;Commentry;OUI;NON;FRGAG;87641415;;
172 007;Avant Avril 2011;CMZ;Charleville Mézieres;OUI;OUI;FRXCZ;87172007;;
611 574;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CNB;Les Cabannes;01/01/2013;;FRFQK;87611574;;
615 286;Avant Avril 2011;CNE;Carcassonne;OUI;OUI;FRCCF;87615286;;
566 919;26/02/2013;CNJ;Lentilly Charpenay;OUI;;FRHCY;87566919;;
783 340;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CNT;Campagnac Saint-Geniez;01/01/2013;;FRINJ;87783340;;
296 616;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;CNY;Chauny;01/01/2013;;FRCOA;87296616;;
611 061;Via WS SUM VaQ Copyright SNCFProximités 13/12/2012;COA;Carbonne;01/01/2013;;FRFPB;87611061;;
721 225;05/03/2013;COF;Collonges - Fontaines;OUI;;FRCOF;87721225;;
491 449;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;COG;Cognac;01/01/2013;;FRCNG;87491449;;
611 467;05/02/2013;COL;Colomiers;OUI;;FRFQB;87611467;;
782 607;11/12/2012;COP;Clermont La Pardieu;12/12/2012;;FRFDM;87782607;;
781 542;Via WS SUM Sans VaQ Copyright SNCFProximités 13/12/2012;COQ;Ceilhe -Roquèredonde;01/01/2013;;FRIMC;87781542;;
