;;;;;;;87144410;911965;2355072;;0;0
144 428;21/05/2013;PXX;Pouxeux;OUI;;FRAYR;87144428;;;;915989.1;2353507.74
;;;;;;;87144428;915989.1;2353507.74;;0;0
144 436;23/04/2013;ELS;Éloyes;OUI;;FRAYS;87144436;;;;917521;2351717
;;;;;;;87144436;917521;2351717;;0;0
144 451;19/04/2012;RMT;Remiremont;26/04/2012;NON;FRRNT;87144451;;;;917871;2343853
;;;;;;;87144451;917871;2343853;;920878;2339825
;;;;;;;87144469;920878;2339825;;942133.52;2367648.64
;;;;;;;87144477;942133.52;2367648.64;;922974;2333842
;;;;;;;87144519;922974;2333842;;926625;2332236
;;;;;;;87144527;926625;2332236;;929111;2330642
;;;;;;;87144535;929111;2330642;;930770;2329610
;;;;;;;87144543;930770;2329610;;932434;2328999
;;;;;;;87144550;932434;2328999;;935261;2326826
;;;;;;;87144568;935261;2326826;;937610;2330128
;;;;;;;87144584;937610;2330128;;933137.44;2387876.61
;;;;;;;87144626;933137.44;2387876.61;;926649;2343534
;;;;;;;87144634;926649;2343534;;936332.6;2383948.11
;;;;;;;87144642;936332.6;2383948.11;;926748;2341845
;;;;;;;87144659;926748;2341845;;927891;2339442
;;;;;;;87144667;927891;2339442;;931093;2337081
;;;;;;;87144675;931093;2337081;;937408;2379603.75
;;;;;;;87144683;937408;2379603.75;;935969;2338883
;;;;;;;87144691;935969;2338883;;914142;2388938
;;;;;;;87144709;914142;2388938;;918568;2380007
;;;;;;;87144725;918568;2380007;;921605;2378989
;;;;;;;87144733;921605;2378989;;922771;2375319
;;;;;;;87144758;922771;2375319;;889078;2365097
;;;;;;;87144774;889078;2365097;;926380;2368700
;;;;;;;87144782;926380;2368700;;895035;2365147
;;;;;;;87146019;895035;2365147;;886321;2369028
;;;;;;;87146035;886321;2369028;;884653;2369617
;;;;;;;87146043;884653;2369617;;0;0
146 217;03/04/2013;XNB;Saint-Nabord;OUI;;FRBAW;87146217;;;;916395.64;2347045.1
;;;;;;;87146217;916395.64;2347045.1;;920811;2338154
;;;;;;;87146225;920811;2338154;;921012;2336152
;;;;;;;87146233;921012;2336152;;921361;2342065
;;;;;;;87146241;921361;2342065;;944654;2373469
;;;;;;;87146274;944654;2373469;;920339;2379879
;;;;;;;87146290;920339;2379879;;923237;2373121
;;;;;;;87146308;923237;2373121;;938864;2343968
;;;;;;;87146332;938864;2343968;;629456;1932555
;;;;;;;87146472;629456;1932555;;591853;1951247
;;;;;;;87146480;591853;1951247;;592407;1951399
;;;;;;;87146498;592407;1951399;;593130;1951162
;;;;;;;87146522;593130;1951162;;580294;1933796
;;;;;;;87146597;580294;1933796;;591341;1951021
;;;;;;;87146613;591341;1951021;;588172;1953623
;;;;;;;87146621;588172;1953623;;585992;1952601
;;;;;;;87146639;585992;1952601;;578941;1953089
;;;;;;;87146647;578941;1953089;;0;0
147 322;Avant Avril 2011;TGM;Meuse TGV;OUI;OUI;FREAJ;87147322;;;;814901;2446269
;;;;;;;87147322;814901;2446269;;918159;2410223
;;;;;;;87148015;918159;2410223;;0;0
;;;;;;;87148023;0;0;;582470;1952683
;;;;;;;87149625;582470;1952683;;0;0
;;;;;;;87151167;0;0;;0;0
;;;;;;;87151589;0;0;;852225;2316204
;;;;;;;87151761;852225;2316204;;584640;2052340
;;;;;;;87152413;584640;2052340;;591290;1941498
;;;;;;;87157016;591290;1941498;;586012;1936015
;;;;;;;87157024;586012;1936015;;890678;2146473
;;;;;;;87157669;890678;2146473;;569389;2109051
;;;;;;;87157842;569389;2109051;;562357;2110923
;;;;;;;87157859;562357;2110923;;549467;2105676
;;;;;;;87157867;549467;2105676;;543166;2101082
;;;;;;;87157875;543166;2101082;;0;0
;;;;;;;87157941;0;0;;0;0
;;;;;;;87157958;0;0;;529638;2094650
;;;;;;;87157966;529638;2094650;;519560;2092863
;;;;;;;87157974;519560;2092863;;0;0
;;;;;;;87157982;0;0;;592542;2132339
;;;;;;;87158006;592542;2132339;;587643;2123555
;;;;;;;87158030;587643;2123555;;0;0
;;;;;;;87158154;0;0;;888598;2146239
;;;;;;;87158162;888598;2146239;;889431;2151422
;;;;;;;87158170;889431;2151422;;296224;2346167
;;;;;;;87159947;296224;2346167;;601060;2435477
;;;;;;;87164780;601060;2435477;;601917;2435557
;;;;;;;87164798;601917;2435557;;584600;1953255
;;;;;;;87164996;584600;1953255;;584848;1952376
;;;;;;;87165464;584848;1952376;;563536;1963962
;;;;;;;87165472;563536;1963962;;568586;1957168
;;;;;;;87165498;568586;1957168;;575506;1956392
;;;;;;;87165506;575506;1956392;;572173;1954787
;;;;;;;87165514;572173;1954787;;551662;1975655
;;;;;;;87165522;551662;1975655;;551662;1972345
;;;;;;;87165530;551662;1972345;;565639;1967763
;;;;;;;87165548;565639;1967763;;560796;1960842
;;;;;;;87165613;560796;1960842;;563878;1969051
;;;;;;;87165621;563878;1969051;;559226;1971251
;;;;;;;87165654;559226;1971251;;594164;1837468
;;;;;;;87165738;594164;1837468;;558351;1855525
;;;;;;;87165803;558351;1855525;;603224;1832104
;;;;;;;87165845;603224;1832104;;539505;1858200
;;;;;;;87165852;539505;1858200;;570878;1849696
;;;;;;;87165944;570878;1849696;;474367;1850666
;;;;;;;87166041;474367;1850666;;482330;1848027
;;;;;;;87166207;482330;1848027;;510828;1844847
;;;;;;;87166314;510828;1844847;;498515;1846711
;;;;;;;87166348;498515;1846711;;514134;1845425
;;;;;;;87166355;514134;1845425;;504107;1843907
;;;;;;;87166603;504107;1843907;;572304;1951936
;;;;;;;87166876;572304;1951936;;547394;1941290
;;;;;;;87167049;547394;1941290;;534769;1940526
;;;;;;;87167056;534769;1940526;;558235;1941901
;;;;;;;87167114;558235;1941901;;540386;1941337
;;;;;;;87167270;540386;1941337;;0;0
;;;;;;;87168039;0;0;;0;0
;;;;;;;87168054;0;0;;536946;1941097
;;;;;;;87168070;536946;1941097;;460136;1855510
;;;;;;;87168195;460136;1855510;;461381;1864652
;;;;;;;87168302;461381;1864652;;511873;1943000
;;;;;;;87168716;511873;1943000;;513606;1941947
;;;;;;;87168724;513606;1941947;;528441;1939756
;;;;;;;87168740;528441;1939756;;521361;1942480
;;;;;;;87168773;521361;1942480;;522959;1942260
;;;;;;;87168799;522959;1942260;;499992;1946861
;;;;;;;87168849;499992;1946861;;523671;1946160
;;;;;;;87168914;523671;1946160;;515242;1943014
;;;;;;;87168955;515242;1943014;;516419;1942476
;;;;;;;87168971;516419;1942476;;515833;1942683
;;;;;;;87169011;515833;1942683;;509290;1944957
;;;;;;;87169250;509290;1944957;;506445;1945921
;;;;;;;87169334;506445;1945921;;497531;1944737
;;;;;;;87169482;497531;1944737;;0;1944515
;;;;;;;87169581;0;1944515;;487609;1789941
;;;;;;;87170043;487609;1789941;;459926;1767558
;;;;;;;87170068;459926;1767558;;460128;1776292
;;;;;;;87170357;460128;1776292;;459555;1778862
;;;;;;;87170555;459555;1778862;;459257;1779347
;;;;;;;87170571;459257;1779347;;459816;1778380
;;;;;;;87170696;459816;1778380;;458395;1764408
;;;;;;;87170761;458395;1764408;;461623;1772037
;;;;;;;87170787;461623;1772037;;461144;1769455
;;;;;;;87170795;461144;1769455;;461834;1769403
;;;;;;;87170811;461834;1769403;;461336;1773002
;;;;;;;87170878;461336;1773002;;0;0
171 009;Avant Avril 2011;RMS;Reims;OUI;OUI;FRRHE;87171009;;;;722928;2474803
;;;;;;;87171009;722928;2474803;;724152;2467564
;;;;;;;87171256;724152;2467564;;724100;2469007
;;;;;;;87171264;724100;2469007;;722894;2471944
;;;;;;;87171272;722894;2471944;;713199;2476739
;;;;;;;87171298;713199;2476739;;707992;2477915
;;;;;;;87171314;707992;2477915;;704036;2479935
;;;;;;;87171322;704036;2479935;;697939;2480086
;;;;;;;87171330;697939;2480086;;692925;2479382
;;;;;;;87171348;692925;2479382;;690268;2478381
;;;;;;;87171355;690268;2478381;;685153;2468495
;;;;;;;87171371;685153;2468495;;0;0
171 462;16/04/2013;BZT;Bazancourt;OUI;;FRRBO;87171462;;;;733583;2486391
;;;;;;;87171462;733583;2486391;;695415;2454263
;;;;;;;87171512;695415;2454263;;0;0
171 553;Avant Avril 2011;EPR;Epernay;OUI;OUI;FRXEP;87171553;;;;718769;2451055
;;;;;;;87171553;718769;2451055;;721794;2451371
;;;;;;;87171561;721794;2451371;;724801;2453188
;;;;;;;87171579;724801;2453188;;723130;2460210
;;;;;;;87171587;723130;2460210;;724399;2464608
;;;;;;;87171595;724399;2464608;;737539;2466155
;;;;;;;87171611;737539;2466155;;734705;2468361
;;;;;;;87171629;734705;2468361;;731814;2468799
;;;;;;;87171637;731814;2468799;;740151;2463221
;;;;;;;87171645;740151;2463221;;752143;2433614
;;;;;;;87171686;752143;2433614;;718866;2491300
;;;;;;;87171702;718866;2491300;;722101;2482589
;;;;;;;87171710;722101;2482589;;720275;2484509
;;;;;;;87171728;720275;2484509;;717939;2494298
;;;;;;;87171736;717939;2494298;;714170;2499738
;;;;;;;87171744;714170;2499738;;710216;2504351
;;;;;;;87171751;710216;2504351;;704250;2507452
;;;;;;;87171769;704250;2507452;;0;0
171 926;Avant Avril 2011;CGV;Champagne Ardenne TGV;OUI;OUI;FREAH;87171926;;;;720473;2469471
;;;;;;;87171926;720473;2469471;;0;0
172 007;Avant Avril 2011;CMZ;Charleville Mézieres;OUI;OUI;FRXCZ;87172007;;;;772248;2532697
;;;;;;;87172007;772248;2532697;;0;0
172 023;14/05/2013;NOU;Nouzonville;OUI;;FRBCZ;87172023;;;;773380;2537720
;;;;;;;87172023;773380;2537720;;0;0
172 031;14/05/2013;JGY;Joigny-sur-Meuse;OUI;;FRBDA;87172031;;;;775058;2540132
;;;;;;;87172031;775058;2540132;;0;0
172 049;23/04/2013;BYU;Bogny-sur-Meuse;OUI;;FRBDB;87172049;;;;774710;2542916
;;;;;;;87172049;774710;2542916;;0;0
172 056;23/04/2013;MME;Monthermé;OUI;;FRBDC;87172056;;;;773078;2543656
;;;;;;;87172056;773078;2543656;;0;0
172 064;23/04/2013;DVI;Deville;OUI;;FRBDD;87172064;;;;770586;2545140
;;;;;;;87172064;770586;2545140;;0;0
172 072;14/05/2013;LFU;Laifour;OUI;;FRBDE;87172072;;;;769457;2548667
;;;;;;;87172072;769457;2548667;;0;0
172 080;16/04/2013;RVI;Revin;OUI;;FRBDF;87172080;;;;765770;2551573
;;;;;;;87172080;765770;2551573;;0;0
172 098;23/04/2013;FUY;Fumay;OUI;;FRBDG;87172098;;;;769149;2556983
;;;;;;;87172098;769149;2556983;;0;0
172 106;14/05/2013;HYM;Haybes;OUI;;FRBDH;87172106;;;;769919;2559851
;;;;;;;87172106;769919;2559851;;0;0
172 114;21/05/2013;VRX;Vireux-Molhain;OUI;;FRBDI;87172114;;;;771058;2567813
;;;;;;;87172114;771058;2567813;;0;0
172 122;23/04/2013;ARI;Aubrives;OUI;;FRBDJ;87172122;;;;773692;2570211
;;;;;;;87172122;773692;2570211;;0;0
172 130;23/04/2013;GVT;Givet;OUI;;FRBDK;87172130;;;;777649;2574413
;;;;;;;87172130;777649;2574413;;772904;2531071
;;;;;;;87172155;772904;2531071;;816897;2588020
;;;;;;;87172171;816897;2588020;;776550;2529014
;;;;;;;87172189;776550;2529014;;0;0
